year,subject,answer_pdf_url,pdf_id,source_page
令和5年,一般教養科目,https://www.moj.go.jp/content/001400885.pdf,001400885,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00164.html
令和6年,一般教養科目,https://www.moj.go.jp/content/001422572.pdf,001422572,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00258.html
令和7年,一般教養科目,https://www.moj.go.jp/content/001444176.pdf,001444176,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00289.html
令和5年,刑法・刑事訴訟法,https://www.moj.go.jp/content/001400884.pdf,001400884,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00164.html
令和6年,刑法・刑事訴訟法,https://www.moj.go.jp/content/001422571.pdf,001422571,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00258.html
令和7年,刑法・刑事訴訟法,https://www.moj.go.jp/content/001444175.pdf,001444175,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00289.html
令和5年,憲法・行政法,https://www.moj.go.jp/content/001400882.pdf,001400882,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00164.html
令和6年,憲法・行政法,https://www.moj.go.jp/content/001422569.pdf,001422569,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00258.html
令和7年,憲法・行政法,https://www.moj.go.jp/content/001444173.pdf,001444173,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00289.html
令和5年,民法・商法・民事訴訟法,https://www.moj.go.jp/content/001400886.pdf,001400886,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00164.html
令和6年,民法・商法・民事訴訟法,https://www.moj.go.jp/content/001422570.pdf,001422570,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00258.html
令和7年,民法・商法・民事訴訟法,https://www.moj.go.jp/content/001444174.pdf,001444174,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00289.html
