year,subject,question_pdf_url,question_pdf_id,question_source_page,answer_pdf_url,answer_pdf_id,answer_source_page
令和5年,一般教養科目,https://www.moj.go.jp/content/001399907.pdf,001399907,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00151.html,https://www.moj.go.jp/content/001400885.pdf,001400885,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00164.html
令和6年,一般教養科目,https://www.moj.go.jp/content/001421754.pdf,001421754,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00228.html,https://www.moj.go.jp/content/001422572.pdf,001422572,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00258.html
令和7年,一般教養科目,https://www.moj.go.jp/content/001443619.pdf,001443619,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00287.html,https://www.moj.go.jp/content/001444176.pdf,001444176,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00289.html
令和5年,刑法・刑事訴訟法,https://www.moj.go.jp/content/001399906.pdf,001399906,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00151.html,https://www.moj.go.jp/content/001400884.pdf,001400884,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00164.html
令和6年,刑法・刑事訴訟法,https://www.moj.go.jp/content/001421753.pdf,001421753,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00228.html,https://www.moj.go.jp/content/001422571.pdf,001422571,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00258.html
令和7年,刑法・刑事訴訟法,https://www.moj.go.jp/content/001443618.pdf,001443618,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00287.html,https://www.moj.go.jp/content/001444175.pdf,001444175,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00289.html
令和5年,憲法・行政法,https://www.moj.go.jp/content/001399904.pdf,001399904,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00151.html,https://www.moj.go.jp/content/001400882.pdf,001400882,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00164.html
令和6年,憲法・行政法,https://www.moj.go.jp/content/001421751.pdf,001421751,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00228.html,https://www.moj.go.jp/content/001422569.pdf,001422569,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00258.html
令和7年,憲法・行政法,https://www.moj.go.jp/content/001443616.pdf,001443616,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00287.html,https://www.moj.go.jp/content/001444173.pdf,001444173,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00289.html
令和5年,民法・商法・民事訴訟法,https://www.moj.go.jp/content/001399905.pdf,001399905,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00151.html,https://www.moj.go.jp/content/001400886.pdf,001400886,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00164.html
令和6年,民法・商法・民事訴訟法,https://www.moj.go.jp/content/001421752.pdf,001421752,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00228.html,https://www.moj.go.jp/content/001422570.pdf,001422570,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00258.html
令和7年,民法・商法・民事訴訟法,https://www.moj.go.jp/content/001443617.pdf,001443617,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00287.html,https://www.moj.go.jp/content/001444174.pdf,001444174,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00289.html
