year,subject,pdf_url,pdf_id,source_page
令和5年,一般教養科目,https://www.moj.go.jp/content/001399907.pdf,001399907,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00151.html
令和6年,一般教養科目,https://www.moj.go.jp/content/001421754.pdf,001421754,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00228.html
令和7年,一般教養科目,https://www.moj.go.jp/content/001443619.pdf,001443619,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00287.html
令和5年,刑法・刑事訴訟法,https://www.moj.go.jp/content/001399906.pdf,001399906,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00151.html
令和6年,刑法・刑事訴訟法,https://www.moj.go.jp/content/001421753.pdf,001421753,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00228.html
令和7年,刑法・刑事訴訟法,https://www.moj.go.jp/content/001443618.pdf,001443618,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00287.html
令和5年,憲法・行政法,https://www.moj.go.jp/content/001399904.pdf,001399904,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00151.html
令和6年,憲法・行政法,https://www.moj.go.jp/content/001421751.pdf,001421751,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00228.html
令和7年,憲法・行政法,https://www.moj.go.jp/content/001443616.pdf,001443616,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00287.html
令和5年,民法・商法・民事訴訟法,https://www.moj.go.jp/content/001399905.pdf,001399905,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00151.html
令和6年,民法・商法・民事訴訟法,https://www.moj.go.jp/content/001421752.pdf,001421752,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00228.html
令和7年,民法・商法・民事訴訟法,https://www.moj.go.jp/content/001443617.pdf,001443617,https://www.moj.go.jp/jinji/shihoushiken/jinji07_00287.html
